numeric_columns,temperature1,temperature2,temperature3,tds,temperature_target,tds_target
,26.12,30.75,26.69,602.55,30,800
,26.12,28,26.75,602.92,30,800
,26.12,25.25,26.69,601.33,30,800
,26.12,43,26.69,624.14,30,800
,26.12,28.5,26.69,531.22,30,800
,26.12,27.25,26.62,531.05,30,800
,26.06,25.75,26.62,535.18,30,800
,26.06,25.5,26.62,535.25,30,800
,26.06,25,26.62,534.84,30,800
,26.12,25,26.62,535.28,30,800
,26,24,26.5,543.1,30,800
,26.06,24,26.56,543.17,30,800
,26.06,24,26.56,541.95,30,800
,26.06,26.5,26.56,542.49,30,800
,26.06,37.25,26.5,542.86,30,800
,26.06,32.5,26.5,543.4,30,800
,26.12,30,26.5,543.44,30,800
,26.06,28.5,26.5,543.13,30,800
,26.06,27.25,26.5,542.08,30,800
,26.06,26.5,26.5,542.96,30,800
,26.06,26,26.5,542.29,30,800
,26.06,25.5,26.44,542.39,30,800
,26.06,25.25,26.5,542.32,30,800
,26,25,26.44,542.39,30,800
,26,24.75,26.44,542.42,30,800
,26,24.5,26.44,542.25,30,800
,26,24.25,26.44,543.44,30,800
,26,24.25,26.44,541.41,30,800
,26,24.25,26.44,540.02,30,800
,26,24,26.44,540.49,30,800
,26,24,26.44,539.95,30,800
,26,24,26.37,540.26,30,800
,26,23.75,26.37,540.93,30,800
,26,23.75,26.37,540.29,30,800
,26,23.75,26.37,540.7,30,800
,26,23.75,26.37,540.83,30,800
,26,23.75,26.37,541.58,30,800
,26,23.5,26.37,543.03,30,800
,25.94,23.75,26.37,548.61,30,800
,25.94,23.5,26.37,650.16,30,800
,25.94,23.5,26.37,642.89,30,800
,25.94,23.5,26.31,644.85,30,800
,25.94,23.75,26.37,649.92,30,800
,25.94,23.5,26.31,655.27,30,800
,25.94,23.5,26.31,656.56,30,800
,25.94,23.5,26.31,657.81,30,800
,25.88,23.5,26.31,659.26,30,800
,25.88,23.5,26.31,657.77,30,800
,25.94,23.5,26.31,658.05,30,800
,26.69,23.5,26.31,660.21,30,800
,27.37,23.5,26.37,661.7,30,800
,27.56,23.5,26.44,663.49,30,800
,27.62,23.5,26.44,665.52,30,800
,27.69,23.5,26.5,667.22,30,800
,27.69,23.5,26.56,668.57,30,800
,27.69,23.5,26.56,667.25,30,800
,27.75,23.25,26.62,665.9,30,800
,27.75,23.5,26.62,665.66,30,800
,27.75,23.25,26.69,665.56,30,800
,27.75,23.25,26.69,663.56,30,800
,27.75,23.25,26.75,664.71,30,800
,26.19,23.25,26.87,678.86,30,800
,26.12,23.25,26.81,578.72,30,800
,26.12,23.25,26.75,584.14,30,800
,26.12,23.25,26.75,603.45,30,800
,26.12,23.25,26.75,601.98,30,800
,26.12,23.25,26.75,625.71,30,800
